N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
123.0,KODEX 레버리지,12240.0,165.0,+1.37%,0.0,20282.0,165700.0,1.04,30251690.0,,
124.0,CJ,69200.0,1400.0,+2.06%,5000.0,20190.0,29177.0,17.47,24563.0,7.62,5.66
125.0,BNK금융지주,6170.0,10.0,-0.16%,5000.0,20110.0,325935.0,35.93,694415.0,2.43,8.76
126.0,한전기술,51800.0,1600.0,+3.19%,200.0,19798.0,38220.0,2.3,142221.0,116.14,3.25
127.0,아모레G,24000.0,300.0,-1.23%,500.0,19790.0,82458.0,14.76,195384.0,53.81,5.49
128.0,HL만도,42000.0,500.0,-1.18%,1000.0,19722.0,46957.0,21.31,219916.0,18.71,9.31
129.0,GS건설,22950.0,1400.0,+6.50%,5000.0,19641.0,85581.0,32.83,1219304.0,4.05,9.32
130.0,한솔케미칼,173000.0,0.0,0.00%,5000.0,19610.0,11335.0,38.44,31597.0,12.94,23.88
131.0,키움증권,74700.0,1500.0,+2.05%,5000.0,19586.0,26220.0,24.68,35766.0,3.24,25.38
132.0,동서,19550.0,750.0,-3.69%,500.0,19491.0,99700.0,3.14,55410.0,16.8,8.05
133.0,현대차우,78600.0,300.0,-0.38%,5000.0,19144.0,24357.0,57.62,20578.0,3.49,
134.0,LS,59200.0,200.0,+0.34%,5000.0,19062.0,32200.0,14.08,59771.0,5.94,8.15
135.0,영원무역,42450.0,200.0,+0.47%,500.0,18810.0,44311.0,29.24,70310.0,4.12,14.71
136.0,TIGER 200,28800.0,185.0,+0.65%,0.0,18331.0,63650.0,0.0,1424396.0,,
137.0,휠라홀딩스,30100.0,750.0,+2.56%,1000.0,18286.0,60752.0,40.8,159477.0,8.71,16.2
138.0,한화,24250.0,200.0,+0.83%,5000.0,18177.0,74959.0,17.19,209843.0,2.27,20.22
139.0,CJ대한통운,78900.0,1400.0,-1.74%,5000.0,17999.0,22812.0,18.41,125776.0,9.87,1.59
140.0,TIGER 미국S&P500,12930.0,60.0,-0.46%,0.0,17882.0,138300.0,0.19,1229041.0,,
141.0,대한전선,1435.0,35.0,-2.38%,100.0,17858.0,1244473.0,2.02,4154501.0,37.76,7.78
142.0,하이트진로,25100.0,250.0,+1.01%,5000.0,17604.0,70134.0,12.79,92361.0,18.69,6.62
143.0,DB하이텍,39450.0,150.0,+0.38%,5000.0,17515.0,44399.0,23.82,650330.0,3.32,33.35
144.0,농심,287500.0,6500.0,-2.21%,5000.0,17488.0,6083.0,13.17,9432.0,15.43,4.73
145.0,대우건설,4195.0,115.0,+2.82%,5000.0,17435.0,415623.0,10.93,989286.0,4.15,16.47
146.0,대웅제약,150000.0,0.0,0.00%,2500.0,17380.0,11587.0,8.56,14962.0,23.9,4.39
147.0,두산퓨얼셀,26450.0,800.0,-2.94%,100.0,17323.0,65494.0,14.61,478221.0,224.15,1.69
148.0,한화생명,1965.0,20.0,-1.01%,5000.0,17067.0,868530.0,7.21,2053143.0,1.62,10.79
149.0,코스모신소재,54800.0,400.0,+0.74%,1000.0,16797.0,30651.0,8.52,252304.0,67.99,9.42
150.0,LX인터내셔널,43150.0,1200.0,+2.86%,5000.0,16725.0,38760.0,31.04,310135.0,3.19,22.49
151.0,오뚜기,440500.0,4000.0,-0.90%,5000.0,16175.0,3672.0,11.99,1691.0,10.82,8.91
152.0,TIGER TOP10,9465.0,60.0,+0.64%,0.0,16048.0,169550.0,1.61,256193.0,,
153.0,TIGER 단기통안채,101415.0,40.0,-0.04%,0.0,16025.0,15801.0,4.81,1055793.0,,
154.0,KODEX 삼성그룹,8215.0,45.0,+0.55%,0.0,15921.0,193800.0,0.57,276684.0,,
155.0,현대위아,58200.0,100.0,-0.17%,5000.0,15828.0,27195.0,10.53,118441.0,7.0,1.96
156.0,TIGER CD금리투자KIS(합성),51280.0,5.0,+0.01%,0.0,15344.0,29922.0,0.0,1339.0,,
157.0,롯데정밀화학,59300.0,1600.0,+2.77%,5000.0,15299.0,25800.0,19.83,83624.0,3.12,30.43
158.0,효성,72200.0,200.0,+0.28%,5000.0,15213.0,21071.0,5.18,19524.0,5.08,18.04
159.0,KODEX 200TR,9620.0,70.0,+0.73%,0.0,14877.0,154650.0,0.12,219783.0,,
160.0,서울가스,297000.0,3000.0,-1.00%,5000.0,14850.0,5000.0,3.32,14384.0,73.39,0.8
161.0,대성홀딩스,92100.0,700.0,+0.77%,1000.0,14818.0,16089.0,4.04,141347.0,64.59,3.61
162.0,KODEX 단기채권PLUS,104200.0,20.0,-0.02%,0.0,14599.0,14011.0,0.0,3795.0,,
163.0,LS ELECTRIC,48300.0,0.0,0.00%,5000.0,14490.0,30000.0,12.66,39814.0,15.67,5.86
164.0,효성첨단소재,323000.0,16500.0,+5.38%,5000.0,14470.0,4480.0,6.14,22868.0,6.17,54.69
165.0,JB금융지주,7210.0,120.0,+1.69%,5000.0,14202.0,196983.0,27.05,280075.0,2.59,12.8
166.0,SK케미칼,80200.0,500.0,-0.62%,5000.0,14132.0,17621.0,16.88,54715.0,10.68,11.19
167.0,한전KPS,31200.0,50.0,+0.16%,200.0,14040.0,45000.0,5.69,134917.0,20.7,9.12
168.0,녹십자,117000.0,500.0,-0.43%,5000.0,13673.0,11687.0,22.69,28912.0,10.96,10.3
169.0,DL이앤씨,35250.0,550.0,+1.59%,5000.0,13640.0,38694.0,22.78,205218.0,2.89,
170.0,두산,81100.0,2200.0,+2.79%,5000.0,13401.0,16524.0,5.72,202474.0,-16.34,11.08
171.0,TIGER 미국테크TOP10 INDXX,10000.0,100.0,-0.99%,0.0,13360.0,133600.0,0.06,534444.0,,
172.0,롯데칠성,143000.0,3500.0,-2.39%,500.0,13269.0,9279.0,12.36,17991.0,8.73,9.96
173.0,에스엘,28100.0,0.0,0.00%,500.0,13052.0,46449.0,16.82,121702.0,12.81,6.63
174.0,TIGER 미국필라델피아반도체나스닥,8600.0,170.0,-1.94%,0.0,13025.0,151450.0,0.0,1454797.0,,
175.0,동원시스템즈,44600.0,150.0,-0.34%,5000.0,12930.0,28991.0,13.19,7535.0,27.82,6.95
